Twitter Handle,Incumbent?,Age,Followers Count,Climate Bool,Total Tweet Count
loweryforwi,No,,165.0,False,17
winkerforwi,No,,618.0,True,127
izzy4wisconsin,No,,68.0,True,295
nate4wisconsin,No,,170.0,False,84
markforassembly,Yes,33.0,430.0,False,31
sitwithjimmy,Yes,,493.0,False,30
samba_madison,No,,822.0,False,299
kriss4wisconsin,No,,1974.0,True,859
bluejeannation,No,56.0,167.0,False,54
snodgrassforwi,No,51.0,2120.0,True,2606
joelforwi,No,57.0,1032.0,True,3838
gretaneubauer,Yes,29.0,2302.0,True,540
berge4eauclaire,No,40.0,199.0,False,48
voteshankland,Yes,33.0,147.0,False,8
criste72nd,No,,26.0,False,10
hong4assembly,No,,,True,3376
johnsonforwi,No,61.0,27.0,False,10
kristinaad90,No,40.0,1065.0,True,470
jodiforassembly,Yes,48.0,488.0,True,298
amandawhiteeag1,No,41.0,299.0,True,92
jaynes4wi,No,,203.0,False,24
perryforwi,No,,899.0,True,2843
french4az,No,59.0,1301.0,False,207
jamescita,Yes,45.0,1681.0,True,1156
senbarbmcguire,No,66.0,1219.0,False,53
victorialsteele,Yes,42.0,5453.0,True,3304
engelforarizona,No,59.0,2707.0,True,569
lrobinson4az,No,,691.0,False,200
rwkarp,No,71.0,40.0,False,77
ajforarizona,No,,884.0,True,489
seanbowie,Yes,34.0,3322.0,True,346
ervinforaz,No,,700.0,True,190
tyreeaz2020,No,31.0,332.0,False,492
sethblattman,No,39.0,532.0,False,302
lelaalstonaz,Yes,75.0,6438.0,True,1986
mendezforaz,Yes,35.0,8090.0,True,2481
rios_rebecca,Yes,53.0,6891.0,True,367
christinepmarsh,No,53.0,3490.0,True,700
navarreteaz,Yes,,3297.0,True,1521
ej4sd4,No,36.0,48.0,False,16
hanlonforco,No,53.0,,True,207
randiforco,No,34.0,6089.0,True,2680
joannginal,Yes,66.0,2763.0,False,81
zenzinger_atoz,Yes,44.0,2686.0,False,159
domoreno,Yes,35.0,4334.0,False,46
sally4co,No,,293.0,True,465
paulaforco,No,,148.0,True,120
jeffbridges,Yes,,5208.0,True,620
chriskolkerco,No,48.0,508.0,True,143
repjanetbuckner,No,,2668.0,True,677
senrhondafields,Yes,66.0,7187.0,True,687
hansenforco,Yes,44.0,2978.0,True,168
lopez4colorado,No,44.0,35.0,True,223
loranneausley,No,57.0,2738.0,True,688
melinarayna,No,45.0,182.0,False,115
heatherforsd7,No,,608.0,True,853
sigmanforsenate,No,,,False,241
lindastewartfl,Yes,71.0,3004.0,True,2018
fretwellforfl,No,28.0,235.0,True,311
normanflsenate,No,,463.0,True,856
rachel_d_brown,No,23.0,432.0,True,241
tinapolsky,No,52.0,1116.0,True,207
loriberman,Yes,62.0,4752.0,True,596
josejavierjjr,Yes,42.0,8821.0,True,1175
rahmanforga,Yes,59.0,644.0,False,60
trevagear,No,42.0,554.0,False,25
merritt4ga,No,,809.0,True,1009
emanueldjones,Yes,61.0,850.0,False,34
travisforga,No,,72.0,False,65
sen_ed_harbison,Yes,,,False,81
kellyrosega17,No,,445.0,False,190
ceretta4georgia,No,,271.0,False,332
brookeforga27,No,51.0,682.0,False,770
montenia4s,No,,10.0,False,1
tiannaforchange,No,35.0,1.0,False,3
sennanorrock,Yes,76.0,7009.0,True,402
parketvanessa,No,,5.0,False,332
sallyharrellga,Yes,54.0,3908.0,True,279
kimforgeorgia,No,,710.0,False,143
elenaparent,Yes,44.0,7707.0,True,620
matielynjones,No,,58.0,False,2
zacharyperry12,No,26.0,385.0,True,583
dawnsenate47,No,38.0,2357.0,True,3857
auforga,No,43.0,9851.0,True,2160
deedaley2020,No,,73.0,True,485
june_krise,No,,2525.0,True,2325
sarahzbeeson,No,28.0,1449.0,True,447
nikemawilliams,No,42.0,30284.0,False,581
gorman4iowa,No,,212.0,True,190
nateboulton,Yes,40.0,4151.0,False,127
janet4iowa,Yes,50.0,4605.0,False,77
debscharper,No,,68.0,False,100
tapscott4senate,No,53.0,108.0,False,78
ericgiddens4ia,Yes,47.0,947.0,True,44
degnerforiowa,No,,334.0,True,231
senator_brase,No,58.0,218.0,False,5
wileynickel,Yes,44.0,2734.0,True,3280
electsamsearcy,Yes,,2470.0,True,1010
sarahcrawfordnc,No,39.0,1453.0,True,453
mikewoodard,Yes,61.0,4304.0,False,127
jdwootennc,No,35.0,1045.0,True,253
helen4ncsenate,No,,,False,259
michaelkgarrett,Yes,35.0,1595.0,True,680
wwhitenc,No,51.0,163.0,True,509
santiagofornc,No,,487.0,True,678
jeffjacksonnc,Yes,38.0,61509.0,False,1232
deandreafornc,No,,1182.0,True,219
natashamarcusnc,Yes,51.0,2864.0,True,720
wyoung4d43,No,26.0,37.0,True,44
briancaskeync,No,49.0,5972.0,True,1672
joel4ohio,No,,570.0,True,388
kathywyenandt,No,46.0,2433.0,False,676
fogelforohio,No,40.0,1669.0,True,828
ryanottney,No,36.0,228.0,True,381
lettsgoohio,No,34.0,4150.0,True,1357
betsyraderoh,No,59.0,6916.0,False,918
tomforohio,No,56.0,670.0,True,661
forswartz,No,62.0,1252.0,True,824
fletcher1m,No,62.0,415.0,False,433
nikilsaval,No,,9952.0,True,1918
jd4pastsenate,No,23.0,,True,514
carolyncomitta,No,68.0,1585.0,True,52
shannaforpa,No,34.0,14294.0,True,1045
audreyspankotx,No,31.0,1591.0,True,909
jaystittleburg,No,44.0,326.0,True,443
shadizitoon,No,,235.0,True,252
rolandfortexas,No,50.0,5625.0,False,230
tuckerfortexas,No,29.0,,True,828
nealplotkin1,No,,299.0,False,62
pattyforsenate,Yes,60.0,2503.0,False,50
piotrowski4sen,No,59.0,,False,47
murphyforwi,No,,261.0,True,311
hansenforwi,No,30.0,443.0,False,200
pfaff4senate,No,52.0,720.0,False,121
javerhart2020,No,,377.0,False,100
phyllisdhhall,No,,2074.0,True,572
drdia,No,40.0,4599.0,True,2570
voteneighbors,No,72.0,556.0,True,271
sewell4congress,Yes,55.0,3098.0,False,148
tomohalleran,Yes,74.0,10158.0,True,392
ann_kirkpatrick,Yes,70.0,10930.0,True,618
standwithraul,Yes,72.0,3748.0,False,4
delina4az,No,,11033.0,True,3310
joangreeneaz,No,,18442.0,True,3263
hiral4congress,No,50.0,27832.0,True,1007
rubengallego,Yes,40.0,84980.0,True,3787
michael_muscato,No,,33732.0,True,3320
gregstantonaz,Yes,50.0,67065.0,True,124
audrey4congress,No,35.0,,True,1036
jaredhuffman,Yes,56.0,11854.0,True,2943
johngaramendi,Yes,75.0,3850.0,True,38
mike_ca05,Yes,69.0,620.0,False,106
matsui4congress,Yes,76.0,1369.0,True,17
beraforcongress,Yes,55.0,3904.0,True,86
jerrymcnerney,Yes,69.0,1833.0,False,10
joshharder,Yes,34.0,14121.0,True,814
markdesaulnier,Yes,68.0,2534.0,True,156
teampelosi,Yes,80.0,645390.0,True,2109
shahidforchange,No,46.0,126178.0,True,3921
bleeforcongress,Yes,74.0,51719.0,True,1642
jackiespeier,Yes,70.0,8671.0,True,144
ericswalwell,Yes,39.0,262404.0,True,1371
rokhanna,Yes,44.0,239444.0,True,3431
rishikumar1,No,53.0,1427.0,True,665
zoelofgren,Yes,72.0,1456.0,False,9
jimmypanetta,Yes,51.0,1663.0,True,107
tjcoxcongress,Yes,57.0,7593.0,True,558
philarballo2020,No,,257058.0,True,1572
kimmangone,No,62.0,266020.0,True,5164
carbajalsalud,Yes,55.0,2287.0,True,134
christyforca25,No,,57207.0,True,1388
juliabrownley,Yes,68.0,3731.0,False,15
judychucampaign,Yes,67.0,776.0,False,69
aguilarcampaign,Yes,41.0,1191.0,True,10
davidkim2020,No,36.0,,True,5956
jimmygomezca,Yes,45.0,15975.0,True,1148
dr_raulruiz,Yes,48.0,2918.0,True,31
karenbasstweets,Yes,67.0,21860.0,True,279
michaeltolar6,No,,629.0,True,537
gilcisnerosca,Yes,49.0,16558.0,True,650
marktakano,Yes,59.0,2775.0,True,37
katieporteroc,Yes,46.0,373692.0,True,518
alanlowenthal,Yes,79.0,989.0,True,293
harleyrouda,Yes,58.0,78114.0,True,587
mikelevin,Yes,42.0,112449.0,True,1846
acampanajjar,No,32.0,46509.0,True,1871
scottpetersca52,Yes,62.0,2187.0,True,221
sdgeorgette,No,43.0,6905.0,True,912
sarajacobsca,No,31.0,11708.0,True,1035
degette5280,Yes,63.0,2314.0,True,339
joeneguse,Yes,36.0,28625.0,True,568
freelandco5,No,,11628.0,True,2549
jasoncrowco6,Yes,41.0,35007.0,True,453
ed4colorado,Yes,67.0,3806.0,True,154
joecourtneyct,Yes,67.0,1465.0,False,16
rosa_delauro,Yes,77.0,5230.0,True,103
jahimes,Yes,54.0,110790.0,True,1023
jahanahayesct,Yes,47.0,41940.0,True,386
lisabrochester,Yes,58.0,6052.0,True,179
philehr,No,60.0,223087.0,True,1628
ac4congress2020,No,29.0,34689.0,True,4211
donnadeegan,No,58.0,13937.0,True,1271
smurphycongress,Yes,42.0,6928.0,True,426
jk4florida,No,39.0,17026.0,True,1346
darrensoto,Yes,42.0,5911.0,True,590
val_demings,Yes,63.0,13394.0,True,92
kw4congress,No,51.0,717.0,True,318
charliecrist,Yes,64.0,33107.0,True,218
kathycastorfl,Yes,54.0,2496.0,True,925
alanmcohn,No,57.0,11785.0,True,461
goodforflorida,No,30.0,13886.0,True,518
allenlellison,No,39.0,13699.0,True,4007
pamkeithfl,No,50.0,110660.0,True,4166
